idMso	Exists in Office PowerPoint 2010	Type in Office PowerPoint 2010	Label in Office PowerPoint 2010	Exists in Office PowerPoint 2013	Type in Office PowerPoint 2013	Label in Office PowerPoint 2013
AnimationTriggerAddMenu	0			1	menu	Trigger
AnimationTriggerAddOnClick	0			1	gallery	On Click of
AnimationTriggerAddOnMediaBookmark	0			1	gallery	On Bookmark
ApplicationOptionsDialog	1	button	Options	1	button	Options
ArrowStyleGallery	1	gallery	Arrows	1	gallery	Arrows
ArrowsMore	1	button	More Arrows	1	button	More Arrows
ArtisticEffectsDialog	1	button	Artistic Effects Options	1	button	Artistic Effects Options
AudioBookmarkAdd	0			1	button	Add Bookmark
AudioBookmarkRemove	0			1	button	Remove Bookmark
AudioFadeInTime	0			1	control	Fade In
AudioFadeOutTime	0			1	control	Fade Out
AudioInsert	0			1	button	Audio on My PC
AudioStartGallery	0			1	dropDown	Start
AudioToolsTrim	1	button	Trim Audio	1	button	Trim Audio
AudioVolumeGallery	1	gallery	Volume	1	gallery	Volume
AutoCorrect	1	button	AutoCorrect Options	1	button	AutoCorrect Options
AutoPreviewAnimations	1	toggleButton	AutoPreview	0
BackgroundRemovalClose	0			1	button	Discard All Changes
BarcodeInsert	1	button	Barcode	1	button	Barcode
BaselineLower	1	button	Lower Baseline	1	button	Lower Baseline
BaselineRaise	1	button	Raise Baseline	1	button	Raise Baseline
BevelShapeGallery	1	gallery	Bevel	1	gallery	Bevel
BevelTextGallery	1	gallery	Bevel	1	gallery	Bevel
BlackAndWhiteAutomatic	1	toggleButton	B & W Automatic	1	toggleButton	B & W Automatic
BlackAndWhiteBlack	1	toggleButton	B & W	1	toggleButton	B & W
BlackAndWhiteBlackWithGrayscaleFill	1	toggleButton	B & W Black with Grayscale Fill	1	toggleButton	B & W Black with Grayscale Fill
BlackAndWhiteBlackWithWhiteFill	1	toggleButton	B & W Black with White Fill	1	toggleButton	B & W Black with White Fill
BlackAndWhiteDontShow	1	toggleButton	B & W Don't Show	1	toggleButton	B & W Don't Show
BlackAndWhiteGrayWithWhiteFill	1	toggleButton	B & W Gray with White Fill	1	toggleButton	B & W Gray with White Fill
BlackAndWhiteGrayscale	1	toggleButton	B & W Grayscale	1	toggleButton	B & W Grayscale
BlackAndWhiteInverseGrayscale	1	toggleButton	B & W Inverse Grayscale	1	toggleButton	B & W Inverse Grayscale
BlackAndWhiteLightGrayscale	1	toggleButton	B & W Light Grayscale	1	toggleButton	B & W Light Grayscale
BlackAndWhiteWhite	1	toggleButton	B & W White	1	toggleButton	B & W White
BlackWhiteSettingMenu	1	menu	Setting	1	menu	Setting
Bold	1	toggleButton	Bold	1	toggleButton	Bold
BookshelfDefine	1	button	Define	1	button	Define
BorderBottom	1	toggleButton	Bottom Border	1	toggleButton	Bottom Border
BorderDiagonalDown	1	toggleButton	Diagonal Down Border	1	toggleButton	Diagonal Down Border
BorderDiagonalUp	1	toggleButton	Diagonal Up Border	1	toggleButton	Diagonal Up Border
BorderInside	1	toggleButton	Inside Borders	1	toggleButton	Inside Borders
BorderInsideHorizontal	1	toggleButton	Inside Horizontal Border	1	toggleButton	Inside Horizontal Border
BorderInsideVertical	1	toggleButton	Inside Vertical Border	1	toggleButton	Inside Vertical Border
BorderLeft	1	toggleButton	Left Border	1	toggleButton	Left Border
BorderNone	1	toggleButton	No Border	1	toggleButton	No Border
BorderOutside	1	toggleButton	Outside Borders	1	toggleButton	Outside Borders
BorderRight	1	toggleButton	Right Border	1	toggleButton	Right Border
BorderTop	1	toggleButton	Top Border	1	toggleButton	Top Border
BordersAll	1	toggleButton	All Borders	1	toggleButton	All Borders
BordersShadingDialog	1	button	Borders and Shading	1	button	Borders and Shading
BrightnessLess	1	button	Less Brightness	1	button	Less Brightness
BrightnessMore	1	button	More Brightness	1	button	More Brightness
BroadcastEnd	0			1	button	End Online Presentation
BroadcastFromBeginning	1	button	From Beginning	1	button	From Beginning
BroadcastFromCurrent	1	button	From Current Slide	1	button	From Current Slide
BroadcastNotes	0			1	button	Share Meeting Notes
BroadcastNotesSplitButton	0			1	splitButton	Share Meeting Notes
BroadcastResume	0			1	button	Resume Online Presentation
BroadcastSendInvitation	1	button	Send Invitations	1	button	Send Invitations
BroadcastSlideShow	1	button	Broadcast Slide Show	1	button	Present Online
BroadcastSlideShowBackstage	0			1	button	Present Online
BroadcastSlideShowGeneric	0			1	button	More Services
BroadcastSlideShowLync	0			1	button	Microsoft Lync
BroadcastSlideShowOfficeHosted	0			1	button	Office Presentation Service
BuildOrderChangeGallery	1	gallery	Effect Options Build Property	1	gallery	Effect Options Build Property
BulletsAndNumberingBulletsDialog	1	button	Bullets and Numbering	1	button	Bullets and Numbering
BulletsAndNumberingNumberingDialog	1	button	Bullets and Numbering	1	button	Bullets and Numbering
BulletsGallery	1	gallery	Bullets	1	gallery	Bullets
ButtonCategoryAvailableFileTypes	1	category		0
ButtonCategoryContactMicrosoft	1	category		0
ButtonCategoryMicrosoftTools	1	category		0
ButtonCategoryRecentDocuments	0			1	category	Places
ButtonCategorySend	1	category		0
ButtonCategorySpecialLocations	1	category		0
ButtonCategoryWorkflow	1	category		0
ButtonOpenBrowse	0			1	button	Browse More Files
ButtonTaskClickToRunStatusUpdates	1	task		0
ButtonTaskContactMicrosoft	1	task		0
ButtonTaskDynamicServiceProvider	0			1	task
ButtonTaskOfficeOnline	1	task		0
ButtonTaskOfficeUpgrade	1	task		0
ButtonTaskProductUpdates	1	task		0
ButtonTaskRecentDocuments	0			1	task
ButtonTaskSaveDocument	1	task		0
ButtonTaskSaveToGroove	1	task		0
ButtonTaskSaveToSharePoint	1	task		0
ButtonTaskSelfSupport	1	task		0
ButtonTaskSendByIM	1	task		0
ButtonTaskSendUsingEmail	1	task		0
ButtonTaskShareApplication	1	task		0
ButtonTaskStartWorkflow	1	task		0
ButtonTaskSystemInformation	1	task		0
ButtonTaskWorkflowsUnavailable	1	task		0
CDAudioPlayTrack	1	button	Play CD Audio Track	1	button	Play CD Audio Track
CDAudioPlayTrackAutomatically	1	dropDown	Play Track	1	dropDown	Play Track
CDAudioStartPlayingLabel	1	labelControl	Start Playing	1	labelControl	Start Playing
CDAudioStartTime	1	control	Time	1	control	Time
CDAudioStartTrack	1	control	Track	1	control	Track
CDAudioStopPlayingLabel	1	labelControl	Stop Playing	1	labelControl	Stop Playing
CDAudioStopTime	1	control	Time	1	control	Time
CDAudioStopTrack	1	control	Track	1	control	Track
ChangeCaseGallery	1	gallery	Change Case	1	gallery	Change Case
ChangeCaseToggle	1	button	Toggle Case	1	button	Toggle Case
CharacterFormattingReset	1	button	Reset Character Formatting	1	button	Reset Character Formatting
CharacterSpacingGallery	1	gallery	Character Spacing	1	gallery	Character Spacing
Chart3DView	1	button	3-D Rotation	1	button	3-D Rotation
ChartAddAxis	1	button	Add Axis	1	button	Add Axis
ChartAxes	1	menu	Axes	1	menu	Axes
ChartAxesGallery	0			1	gallery	Axes
ChartAxesOptionsDialog	0			1	button	More Axis Options
ChartAxesTitlesOptionsDialog	0			1	button	More Axis Title Options
ChartAxisTitles	1	menu	Axis Titles	1	menu	Axis Titles
ChartAxisTitlesGallery	0			1	gallery	Axis Titles
ChartCalloutDataLabelAdd	0			1	button	Add Data Callout
ChartCalloutDataLabelsAdd	0			1	button	Add Data Callouts
ChartChangeDataLabelShapeGallery	0			1	gallery	Change Data Label Shape
ChartChangeDataLabelShapesGallery	0			1	gallery	Change Data Label Shapes
ChartChangeType	1	button	Change Chart Type	1	button	Change Chart Type
ChartColorsGallery	0			1	gallery	Change Colors
ChartDataLabel	1	gallery	Data Labels	1	gallery	Data Labels
ChartDataLabelAdd	1	button	Add Data Label	1	button	Add Data Label
ChartDataLabelDialog	1	button	More Data Label Options	1	button	More Data Label Options
ChartDataLabelsAdd	1	button	Add Data Labels	1	button	Add Data Labels
ChartDataTable	1	gallery	Data Table	1	gallery	Data Table
ChartDataTableOptionsDialog	1	button	More Data Table Options	1	button	More Data Table Options
ChartDebugInto	1	button		0
ChartDelete	1	button	Delete	1	button	Delete
ChartDeleteSeries	1	button	Delete Series	1	button	Delete Series
ChartDepthAxis	1	gallery	Depth Axis	1	gallery	Depth Axis
ChartDepthAxisOptionsDialog	1	button	More Depth Axis Options	1	button	More Depth Axis Options
ChartDepthAxisTitle	1	gallery	Depth Axis Title	1	gallery	Depth Axis Title
ChartDepthAxisTitleOptionsDialog	1	button	More Depth Axis Title Options	1	button	More Depth Axis Title Options
ChartDepthGridlines	1	gallery	Depth Gridlines	1	gallery	Depth Gridlines
ChartDepthGridlinesOptionsDialog	1	button	More Depth Gridlines Options	1	button	More Depth Gridlines Options
ChartDraftModeToggle	1	toggleButton	Draft	0
ChartDrawingModeMenu	1	splitButton	Draft	0
ChartEditDataMenu	0			1	splitButton	Edit Data
ChartEditDataSource	1	button	Select Data	1	button	Select Data
ChartEditText	1	button	Edit Text	1	button	Edit Text
ChartElementSelector	1	comboBox	Chart Elements	1	comboBox	Chart Elements
ChartErrorBars	1	gallery	Error Bars	1	gallery	Error Bars
ChartErrorBarsOptionsDialog	1	button	More Error Bars Options	1	button	More Error Bars Options
ChartExitEditText	1	button	Exit Edit Text	1	button	Exit Edit Text
ChartFloor	1	gallery	Chart Floor	1	gallery	Chart Floor
ChartFloorOptionsDialog	1	button	More Floor Options	1	button	More Floor Options
ChartFormatAxis	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisAndSelect	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisTitle	1	button	Format Axis Title	1	button	Format Axis Title
ChartFormatBackWall	1	button	Format Back Wall	1	button	Format Back Wall
ChartFormatChartArea	1	button	Format Chart Area	1	button	Format Chart Area
ChartFormatChartTitle	1	button	Format Chart Title	1	button	Format Chart Title
ChartFormatDataLabel	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabelAndSelect	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabels	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataLabelsAndSelect	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataPoint	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataPointAndSelect	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataSeries	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataSeriesAndSelect	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataTable	1	button	Format Data Table	1	button	Format Data Table
ChartFormatDisplayUnit	1	button	Format Display Unit	1	button	Format Display Unit
ChartFormatDownBars	1	button	Format Down Bars	1	button	Format Down Bars
ChartFormatDropLines	1	button	Format Drop Lines	1	button	Format Drop Lines
ChartFormatErrorBars	1	button	Format Error Bars	1	button	Format Error Bars
ChartFormatFloor	1	button	Format Floor	1	button	Format Floor
ChartFormatGridlines	1	button	Format Gridlines	1	button	Format Gridlines
ChartFormatHighLowLine	1	button	Format High-Low Lines	1	button	Format High-Low Lines
ChartFormatLeaderLines	1	button	Format Leader Lines	1	button	Format Leader Lines
ChartFormatLegend	1	button	Format Legend	1	button	Format Legend
ChartFormatLegendEntry	1	button	Format Legend Entry	1	button	Format Legend Entry
ChartFormatMajorGridlinesAndSelect	1	button	Format Major Gridlines	1	button	Format Major Gridlines
ChartFormatMinorGridlinesAndSelect	1	button	Format Minor Gridlines	1	button	Format Minor Gridlines
ChartFormatPlotArea	1	button	Format Plot Area	1	button	Format Plot Area
ChartFormatSelection	1	button	Format Selection	1	button	Format Selection
ChartFormatSeriesLine	1	button	Format Series Lines	1	button	Format Series Lines
ChartFormatSideWall	1	button	Format Side Wall	1	button	Format Side Wall
ChartFormatTrendline	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineAndSelect	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineLabel	1	button	Format Trendline Label	1	button	Format Trendline Label
ChartFormatUpBars	1	button	Format Up Bars	1	button	Format Up Bars
ChartFormatWalls	1	button	Format Walls	1	button	Format Walls
ChartGridlineOptionsDialog	0			1	button	More Gridline Options
ChartGridlines	1	menu	Gridlines	1	menu	Gridlines
ChartGridlinesGallery	0			1	gallery	Gridlines
ChartHideSketchModeAlert	1	button	Hide This Alert	0
ChartInsert	1	button	Chart	1	button	Chart
ChartInsertDataField	0			1	button	Insert Data Label Field
ChartLayoutGallery	1	gallery	Quick Layout	1	gallery	Quick Layout
ChartLegend	1	gallery	Legend	1	gallery	Legend
ChartLegendOptionsDialogDialog	1	button	More Legend Options	1	button	More Legend Options
ChartLines	1	gallery	Lines	1	gallery	Lines
ChartMajorGridlinesAdd	1	button	Add Major Gridlines	1	button	Add Major Gridlines
ChartMinorGridlinesAdd	1	button	Add Minor Gridlines	1	button	Add Minor Gridlines
ChartNormalItem	1	toggleButton	Normal Mode	0
ChartNormalModeForAll	1	button	Apply Normal Mode to all charts	0
ChartPlotArea	1	gallery	Plot Area	1	gallery	Plot Area
ChartPlotAreaOptionsDialog	1	button	More Plot Area Options	1	button	More Plot Area Options
ChartPrimaryHorizontalAxis	1	gallery	Primary Horizontal Axis	1	gallery	Primary Horizontal Axis
ChartPrimaryHorizontalAxisOptionsDialog	1	button	More Primary Horizontal Axis Options	1	button	More Primary Horizontal Axis Options
ChartPrimaryHorizontalAxisTitle	1	gallery	Primary Horizontal Axis Title	1	gallery	Primary Horizontal Axis Title
ChartPrimaryHorizontalAxisTitleOptionsDialog	1	button	More Primary Horizontal Axis Title Options	1	button	More Primary Horizontal Axis Title Options
ChartPrimaryHorizontalGridlines	1	gallery	Primary Horizontal Gridlines	1	gallery	Primary Horizontal Gridlines
ChartPrimaryHorizontalGridlinesOptionsDialog	1	button	More Primary Horizontal Gridlines Options	1	button	More Primary Horizontal Gridlines Options
ChartPrimaryVerticalAxis	1	gallery	Primary Vertical Axis	1	gallery	Primary Vertical Axis
ChartPrimaryVerticalAxisOptionsDialog	1	button	More Primary Vertical Axis Options	1	button	More Primary Vertical Axis Options
ChartPrimaryVerticalAxisTitle	1	gallery	Primary Vertical Axis Title	1	gallery	Primary Vertical Axis Title
ChartPrimaryVerticalAxisTitleOptionsDialog	1	button	More Primary Vertical Axis Title Options	1	button	More Primary Vertical Axis Title Options
ChartPrimaryVerticalGridlines	1	gallery	Primary Vertical Gridlines	1	gallery	Primary Vertical Gridlines
ChartPrimaryVerticalGridlinesOptionsDialog	1	button	More Primary Vertical Gridlines Options	1	button	More Primary Vertical Gridlines Options
ChartRefresh	1	button	Refresh Data	1	button	Refresh Data
ChartResetToMatchStyle	1	button	Reset to Match Style	1	button	Reset to Match Style
ChartSaveTemplates	1	button	Save As Template	1	button	Save as Template
ChartSecondaryHorizontalAxis	1	gallery	Secondary Horizontal Axis	1	gallery	Secondary Horizontal Axis
ChartSecondaryHorizontalAxisOption	1	button	More Secondary Horizontal Axis Options	1	button	More Secondary Horizontal Axis Options
ChartSecondaryHorizontalAxisTitle	1	gallery	Secondary Horizontal Axis Title	1	gallery	Secondary Horizontal Axis Title
ChartSecondaryHorizontalAxisTitleOptionsDialog	1	button	More Secondary Horizontal Axis Title Options	1	button	More Secondary Horizontal Axis Title Options
ChartSecondaryHorizontalGridlines	1	gallery	Secondary Horizontal Gridlines	1	gallery	Secondary Horizontal Gridlines
ChartSecondaryHorizontalGridlinesOptionsDialog	1	button	More Secondary Horizontal Gridlines Options	1	button	More Secondary Horizontal Gridlines Options
ChartSecondaryVerticalAxis	1	gallery	Secondary Vertical Axis	1	gallery	Secondary Vertical Axis
ChartSecondaryVerticalAxisOptionsDialog	1	button	More Secondary Vertical Axis Options	1	button	More Secondary Vertical Axis Options
ChartSecondaryVerticalAxisTitle	1	gallery	Secondary Vertical Axis Title	1	gallery	Secondary Vertical Axis Title
ChartSecondaryVerticalAxisTitleOptionsDialog	1	button	More Secondary Vertical Axis Title Options	1	button	More Secondary Vertical Axis Title Options
ChartSecondaryVerticalGridlines	1	gallery	Secondary Vertical Gridlines	1	gallery	Secondary Vertical Gridlines
ChartSecondaryVerticalGridlinesOptionsDialog	1	button	More Secondary Vertical Gridlines Options	1	button	More Secondary Vertical Gridlines Options
ChartSeriesTypeChange	1	button	Change Series Chart Type	1	button	Change Series Chart Type
ChartShowData	1	button	Edit Data	1	button	Edit Data
ChartShowDataContextualMenu	1	button	Edit Data	1	button	Edit Data in Excel 2013
ChartShowDataGrid	0			1	button	Edit Data
ChartSketchItem	1	toggleButton	Draft Mode	0
ChartSketchModeForAll	1	button	Apply Draft Mode to all charts	0
ChartSourceDataContextualMenu	1	button	Select Data	1	button	Select Data
ChartStylesGallery	1	gallery	Quick Styles	1	gallery	Quick Styles
ChartSwitchRowColumn	1	button	Switch Row/Column	1	button	Switch Row/Column
ChartTitle	1	gallery	Chart Title	1	gallery	Chart Title
ChartTitleOptionsDialog	1	button	More Title Options	1	button	More Title Options
ChartTrendline	1	gallery	Trendline	1	gallery	Trendline
ChartTrendlineAdd	1	button	Add Trendline	1	button	Add Trendline
ChartTrendlineOptionsDialog	1	button	More Trendline Options	1	button	More Trendline Options
ChartTurnOffSketchMode	1	button	Turn off Draft Mode	0
ChartUpDownBars	1	gallery	Up/Down Bars	1	gallery	Up/Down Bars
ChartUpDownBarsOptionsDialog	1	button	More Up/Down Bars Options	1	button	More Up/Down Bars Options
ChartWall	1	gallery	Chart Wall	1	gallery	Chart Wall
ChartWallOptionsDialog	1	button	More Walls Options	1	button	More Walls Options
CheckForUpdates	1	button	Check for Updates	1	button	Check for Updates
ChineseTranslationDialog	1	button	Convert with Options	1	button	Convert with Options
Clear	1	button	Clear	1	button	Clear
ClearFormatting	1	button	Clear Formatting	1	button	Clear Formatting
ClearSlideShowMenu	1	menu	Clear	0
ClipArtInsert	1	toggleButton	Clip Art Pane	1	toggleButton	Clip Art
ClipArtInsertDialog	0			1	button	Online Pictures
CloseBackgroundRemoval	1	button	Close Background Removal	0
CloseMergeView	1	button	Close Merge View	0
ClosePath	1	toggleButton	Close Path	1	toggleButton	Close Path
CollapseAll	1	button	Collapse All	1	button	Collapse All
ComAddInsDialog	1	button	COM Add-Ins	1	button	COM Add-Ins
CombineCharacters	1	toggleButton	Yoko-Gumi	1	toggleButton	Yoko-Gumi
CombineShapes	1	button	Combine	0
CombineShapesGallery	0			1	gallery	Merge Shapes
CombineShapesMenu	0			1	menu	Merge
CommentsPane	0			1	toggleButton	Comments Pane
CommentsPaneSplitButton	0			1	toggleButton	Comments Pane
ContactUs	1	button	Contact Us	1	button	Contact Us
ContextMenuActiveXControl	0			1	contextMenu
ContextMenuAudio	0			1	contextMenu
ContextMenuChartArea	0			1	contextMenu
ContextMenuChartAxis	0			1	contextMenu
ContextMenuChartAxisTitle	0			1	contextMenu
ContextMenuChartBackWall	0			1	contextMenu
ContextMenuChartDataLabel	0			1	contextMenu
ContextMenuChartDataLabels	0			1	contextMenu
ContextMenuChartDataPoint	0			1	contextMenu
ContextMenuChartDataSeries	0			1	contextMenu
ContextMenuChartDataTable	0			1	contextMenu
ContextMenuChartDisplayUnit	0			1	contextMenu
ContextMenuChartDownBars	0			1	contextMenu
ContextMenuChartDropLines	0			1	contextMenu
ContextMenuChartErrorBars	0			1	contextMenu
ContextMenuChartFloor	0			1	contextMenu
ContextMenuChartGridlines	0			1	contextMenu
ContextMenuChartHighLowLine	0			1	contextMenu
ContextMenuChartLeaderLines	0			1	contextMenu
ContextMenuChartLegend	0			1	contextMenu
ContextMenuChartLegendEntry	0			1	contextMenu
ContextMenuChartPlotArea	0			1	contextMenu
ContextMenuChartSeriesLine	0			1	contextMenu
ContextMenuChartSideWall	0			1	contextMenu
ContextMenuChartSketchMode	1	contextMenu		0
ContextMenuChartTitle	0			1	contextMenu
ContextMenuChartTrendline	0			1	contextMenu
ContextMenuChartTrendlineLabel	0			1	contextMenu
ContextMenuChartUpBars	0			1	contextMenu
ContextMenuChartWalls	0			1	contextMenu
ContextMenuCommentMarker	0			1	contextMenu
ContextMenuCurve	0			1	contextMenu
ContextMenuDrawnObject	0			1	contextMenu
ContextMenuEndShow	0			1	contextMenu
ContextMenuFrame	0			1	contextMenu
ContextMenuGraphicOleClassic	0			1	contextMenu
ContextMenuGraphicsCompatibility	0			1	contextMenu
ContextMenuGuide	0			1	contextMenu
ContextMenuInk	1	contextMenu		1	contextMenu
ContextMenuLabelSection	0			1	contextMenu
ContextMenuMotionPath	0			1	contextMenu
ContextMenuNotesEditText	0			1	contextMenu
ContextMenuObjectEditPoint	0			1	contextMenu
ContextMenuObjectEditSegment	0			1	contextMenu
ContextMenuObjectsGroup	0			1	contextMenu
ContextMenuOfficePreviewHandlerPowerPoint	0			1	contextMenu
ContextMenuPathPoint	0			1	contextMenu
ContextMenuPathSegment	0			1	contextMenu
ContextMenuPicture	0			1	contextMenu
ContextMenuPodiumMonitorSettings	0			1	contextMenu
ContextMenuRevision	0			1	contextMenu
ContextMenuRightDragDrop	0			1	contextMenu
ContextMenuShape	0			1	contextMenu
ContextMenuShapeConnector	0			1	contextMenu
ContextMenuShapeFreeform	0			1	contextMenu
ContextMenuShowBrowse	0			1	contextMenu
ContextMenuShowHyperlink	0			1	contextMenu
ContextMenuShowPointerOptions	0			1	contextMenu
ContextMenuSlideGap	0			1	contextMenu
ContextMenuSlideShow	0			1	contextMenu
ContextMenuSlideSorter	0			1	contextMenu
ContextMenuSlideSync	0			1	contextMenu
ContextMenuSmartArtBackground	0			1	contextMenu
ContextMenuSmartArtContentPane	0			1	contextMenu
ContextMenuSmartArtEdit1DShape	0			1	contextMenu
ContextMenuSmartArtEdit1DShapeText	0			1	contextMenu
ContextMenuSmartArtEditSmartArt	0			1	contextMenu
ContextMenuSmartArtEditText	0			1	contextMenu
ContextMenuSpell	0			1	contextMenu
ContextMenuTable	0			1	contextMenu
ContextMenuTableWhole	0			1	contextMenu
ContextMenuTextEdit	0			1	contextMenu
ContextMenuTextEditOutline	0			1	contextMenu
ContextMenuThumbnail	0			1	contextMenu
ContextMenuVideo	0			1	contextMenu
ContrastLess	1	button	Less Contrast	1	button	Less Contrast
ContrastMore	1	button	More Contrast	1	button	More Contrast
ControlProperties	1	button	Properties	1	button	Properties
ConvertPicturesToSmartArt	1	gallery	Picture Layout	0
ConvertSmartArtMenu	1	menu	Convert	1	menu	Convert
ConvertSmartArtToShapes	1	button	Convert to Shapes	0
ConvertSmartArtToText	1	button	Convert to Text	0
ConvertToSmartArt	1	gallery	Convert to SmartArt	1	gallery	Convert to SmartArt
ConvertToSmartArtMoreSmartArtGraphicsDialog	1	button	More SmartArt Graphics	1	button	More SmartArt Graphics
Copy	1	button	Copy	1	button	Copy
CopySplitButton	0			1	splitButton	Copy
CornerVertex	1	toggleButton	Corner Point	1	toggleButton	Corner Point
CreateHandoutsInWord	1	button	Create Handouts in Microsoft Word	1	button	Create Handouts in Microsoft Word
CurrentEraser	0			1	toggleButton	Eraser
CustomAddAnimationEmphasisDialog	1	button	More Emphasis Effects	0
CustomAddAnimationEntranceDialog	1	button	More Entrance Effects	0
CustomAddAnimationExitDialog	1	button	More Exit Effects	0
